                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66034,                 2.5932,                 2.7654,                 1.0589,                0.00333,                      1,                0.40101,                0.35896,                0.00326,                0.97917,                0.39685,                0.33635,                0.34843,                 1.1005,                 2.8016,                 0.8665,                0.00012,                0.00012,                0.00012
                      2,                0.54538,                 1.1575,                 1.9017,                0.97911,                      1,                0.67647,                0.99337,                0.87773,                      1,                0.67647,                0.99337,                0.95977,                0.46137,                0.48642,                  2.064,                0.84876,             0.00025743,             0.00025743,             0.00025743
                      3,                0.51289,                0.56508,                 1.1766,                0.88598,                      1,                0.89206,                0.99278,                0.89548,                      1,                0.89206,                0.99278,                0.91664,                0.46498,                0.58329,                 2.1615,                0.83156,             0.00039208,             0.00039208,             0.00039208
                      4,                0.49881,                0.48971,                 1.0409,                 0.9063,                      1,                0.73874,                0.99382,                0.93199,                      1,                0.73874,                0.99382,                0.90262,                0.31504,                0.74472,                 2.2879,                0.78815,             0.00052396,             0.00052396,             0.00052396
                      5,                0.49267,                0.55157,                0.94262,                0.86868,                0.97902,                0.97228,                0.99299,                0.88104,                0.97902,                0.97228,                0.99299,                0.87997,                0.47227,                0.97533,                 1.6965,                0.83886,             0.00065307,             0.00065307,             0.00065307
                      6,                0.52957,                0.46554,                0.92325,                0.89208,                      1,                0.93976,                 0.9942,                0.90147,                      1,                0.93976,                 0.9942,                0.93671,                0.44092,                0.68398,                 1.8344,                0.84326,             0.00077941,             0.00077941,             0.00077941
                      7,                0.51002,                  0.479,                0.88417,                0.88565,                0.84922,                 0.9375,                0.95968,                0.71666,                0.84922,                 0.9375,                0.95968,                0.77443,                0.79581,                0.87798,                 1.9326,                  1.081,             0.00090298,             0.00090298,             0.00090298
                      8,                0.56491,                0.48029,                0.84941,                0.92666,                0.91613,                0.85417,                0.96332,                0.81933,                0.91613,                0.85417,                0.96332,                0.88843,                 0.6252,                0.82069,                 1.7011,                0.94075,              0.0010238,              0.0010238,              0.0010238
                      9,                0.54608,                0.49311,                0.96077,                0.89223,                0.90224,                0.96142,                0.96766,                0.78455,                0.90224,                0.96142,                0.96766,                0.80781,                0.63231,                 1.0693,                 1.3027,                0.91493,              0.0011418,              0.0011418,              0.0011418
                     10,                 0.5501,                0.52192,                0.83705,                0.91387,                      1,                 0.9999,                  0.995,                0.87783,                      1,                 0.9999,                  0.995,                 0.8449,                0.49985,                 1.3497,                 1.1196,                0.85632,               0.001257,               0.001257,               0.001257
                     11,                0.49781,                0.52715,                0.79696,                0.87933,                      1,                0.99945,                  0.995,                0.87491,                      1,                0.99945,                  0.995,                0.89272,                0.44746,                0.78577,                 1.0767,                0.82369,              0.0013695,              0.0013695,              0.0013695
                     12,                0.53128,                0.59849,                0.76931,                0.88491,                0.90353,                0.97572,                0.97388,                 0.8242,                0.90353,                0.97572,                0.97388,                0.90581,                0.59058,                0.51921,                 1.2213,                 0.8952,              0.0014792,              0.0014792,              0.0014792
                     13,                0.52665,                  0.564,                0.76049,                0.90103,                  0.997,                0.95833,                0.99265,                 0.8861,                  0.997,                0.95833,                0.99265,                 0.9583,                0.50382,                0.48567,                 1.0093,                0.84114,              0.0015862,              0.0015862,              0.0015862
                     14,                0.59211,                0.60988,                0.84742,                0.89471,                0.95637,                      1,                0.98113,                0.82691,                0.95637,                      1,                0.98113,                0.91752,                0.55258,                0.60872,                0.86113,                0.90646,              0.0016903,              0.0016903,              0.0016903
                     15,                0.57652,                0.65923,                0.77036,                 0.9209,                0.92078,                0.97917,                0.97742,                0.81988,                0.92078,                0.97917,                0.97742,                0.86547,                 0.6025,                 1.2321,                0.88617,                0.91128,              0.0017228,              0.0017228,              0.0017228
                     16,                0.60105,                0.58268,                0.80303,                0.90453,                0.86637,                0.91667,                0.92569,                0.72117,                0.86637,                0.91667,                0.92504,                0.68221,                0.60778,                 2.6318,                 1.3552,                0.92996,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.5534,                0.64487,                0.77426,                0.93735,                0.93507,                0.91667,                0.95239,                 0.7598,                0.93507,                0.91667,                0.95093,                0.70532,                0.62331,                 3.3004,                 1.2932,                0.94662,               0.001703,               0.001703,               0.001703
                     18,                0.53069,                0.59835,                 0.7318,                0.91358,                0.80758,                0.66667,                0.84876,                0.69624,                0.93145,                0.56625,                0.70039,                0.37238,                0.66655,                 8.8773,                 1.2525,                0.97402,              0.0016832,              0.0016832,              0.0016832
                     19,                0.55409,                0.53072,                0.71781,                0.90793,                 0.8237,                 0.6875,                0.79036,                0.54744,                0.58122,                 0.4375,                0.39861,                0.15589,                 1.0456,                 15.794,                 1.5235,                  1.172,              0.0016634,              0.0016634,              0.0016634
